Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino,Novavax,Covaxin,Medicago,Sanofi/GSK,SKYCovione,Valneva
Argentina,ARG,2021-04-28,33,10,1543194,0,4604405,0,1922577,7,0,0,0,0,0,0
Argentina,ARG,2021-04-29,33,10,1581958,0,4681854,0,1962710,7,0,0,0,0,0,0
Argentina,ARG,2021-04-30,33,10,1612516,0,4730115,0,1998882,7,0,0,0,0,0,0
Argentina,ARG,2021-05-01,33,10,1617780,0,4741451,0,2002595,7,0,0,0,0,0,0
Argentina,ARG,2021-05-02,33,10,1624373,0,4760907,0,2016727,7,0,0,0,0,0,0
Argentina,ARG,2021-05-03,34,10,1647997,0,4838065,0,2090709,7,0,0,0,0,0,0
Argentina,ARG,2021-05-04,34,10,1671611,0,4952438,0,2184820,7,0,0,0,0,0,0
Argentina,ARG,2021-05-05,34,11,1696537,0,5093982,0,2263423,7,0,0,0,0,0,0
Argentina,ARG,2021-05-06,35,11,1714378,0,5214389,0,2328069,7,0,0,0,0,0,0
Argentina,ARG,2021-05-07,35,11,1728341,0,5309722,0,2424198,8,0,0,0,0,0,0
Argentina,ARG,2021-05-08,35,11,1732400,0,5338332,0,2465819,8,0,0,0,0,0,0
Argentina,ARG,2021-05-09,35,11,1734140,0,5351791,0,2469318,8,0,0,0,0,0,0
Argentina,ARG,2021-05-10,35,11,1744067,0,5419410,0,2533499,8,0,0,0,0,0,0
Argentina,ARG,2021-05-11,36,12,1752345,0,5486782,0,2598356,8,0,0,0,0,0,0
Argentina,ARG,2021-05-12,36,13,1758130,0,5539286,0,2737734,8,0,0,0,0,0,0
Argentina,ARG,2021-05-13,36,13,1763833,0,5577048,0,2886466,8,0,0,0,0,0,0
Argentina,ARG,2021-05-14,36,13,1773045,0,5616040,0,3034836,8,0,0,0,0,0,0
Argentina,ARG,2021-05-15,36,13,1776131,0,5657619,0,3085289,8,0,0,0,0,0,0
Argentina,ARG,2021-05-16,36,13,1777606,0,5680442,0,3128599,8,0,0,0,0,0,0
Argentina,ARG,2021-05-17,37,13,1784915,0,5764370,0,3224354,8,0,0,0,0,0,0
Argentina,ARG,2021-05-18,37,13,1794712,0,5907924,0,3269305,8,0,0,0,0,0,0
Argentina,ARG,2021-05-19,38,13,1802069,0,6034995,0,3302663,8,0,0,0,0,0,0
Argentina,ARG,2021-05-20,38,13,1812580,0,6171857,0,3337950,8,0,0,0,0,0,0
Argentina,ARG,2021-05-21,38,13,1821788,0,6261740,0,3416179,8,0,0,0,0,0,0
Argentina,ARG,2021-05-22,38,13,1823314,0,6316682,0,3460178,8,0,0,0,0,0,0
Argentina,ARG,2021-05-23,38,13,1823732,0,6338662,0,3483058,8,0,0,0,0,0,0
Argentina,ARG,2021-05-24,39,13,1824915,0,6406376,0,3502552,8,0,0,0,0,0,0
Argentina,ARG,2021-05-25,39,13,1846998,0,6444549,0,3505734,8,0,0,0,0,0,0
Argentina,ARG,2021-05-26,39,13,1873879,0,6537241,0,3539324,8,0,0,0,0,0,0
Argentina,ARG,2021-05-27,39,13,1919358,0,6627978,0,3572584,8,0,0,0,0,0,0
